t_end,latency_ms,cache_hit
1756718862.590475,0.052,1
1756718862.590494,0.013,1
1756718862.590511,0.012,1
1756718862.590528,0.011,1
1756718862.590775,0.051,1
1756718862.590795,0.013,1
1756718862.590812,0.012,1
1756718862.590828,0.011,1
1756718862.591078,0.051,1
1756718862.591097,0.013,1
1756718862.591114,0.012,1
1756718862.591130,0.012,1
1756718862.591381,0.056,1
1756718862.591400,0.012,1
1756718862.591418,0.012,1
1756718862.591434,0.012,1
1756718862.591709,0.055,1
1756718862.591729,0.013,1
1756718862.591747,0.012,1
1756718862.591765,0.012,1
1756718862.592055,0.056,1
1756718862.592076,0.014,1
1756718862.592094,0.013,1
1756718862.592111,0.012,1
1756718862.592413,0.055,1
1756718862.592434,0.013,1
1756718862.592452,0.012,1
1756718862.592468,0.011,1
1756718862.592754,0.058,1
1756718862.592774,0.013,1
1756718862.592793,0.013,1
1756718862.592810,0.011,1
1756718862.593251,0.070,1
1756718862.593292,0.033,1
1756718862.593351,0.053,1
1756718862.593376,0.013,1
1756718862.593655,0.046,1
1756718862.593673,0.012,1
1756718862.593688,0.010,1
1756718862.593704,0.010,1
1756718862.593933,0.045,1
1756718862.593950,0.011,1
1756718862.593965,0.010,1
1756718862.593980,0.010,1
1756718862.594202,0.043,1
1756718862.594219,0.011,1
1756718862.594234,0.010,1
1756718862.594248,0.010,1
1756718862.628378,33.941,0
1756718862.628518,34.070,0
1756718862.628640,34.180,0
1756718862.629684,35.292,0
1756718862.630372,0.070,1
1756718862.630399,0.016,1
1756718862.630420,0.014,1
1756718862.630441,0.015,1
1756718862.630860,0.068,1
1756718862.630886,0.016,1
1756718862.630907,0.014,1
1756718862.630928,0.014,1
1756718862.631279,0.063,1
1756718862.631302,0.014,1
1756718862.631321,0.013,1
1756718862.631340,0.013,1
1756718862.631671,0.061,1
1756718862.631695,0.015,1
1756718862.631716,0.013,1
1756718862.631735,0.013,1
1756718862.632073,0.067,1
1756718862.632099,0.017,1
1756718862.632119,0.014,1
1756718862.632151,0.015,1
1756718862.632499,0.063,1
1756718862.632522,0.015,1
1756718862.632542,0.014,1
1756718862.632562,0.014,1
1756718862.632875,0.061,1
1756718862.632898,0.015,1
1756718862.632917,0.014,1
1756718862.632936,0.012,1
1756718862.633279,0.064,1
1756718862.633303,0.015,1
1756718862.633323,0.014,1
1756718862.633342,0.013,1
1756718862.633669,0.061,1
1756718862.633692,0.015,1
1756718862.633712,0.014,1
1756718862.633732,0.013,1
1756718862.634060,0.064,1
1756718862.634084,0.015,1
1756718862.634104,0.014,1
1756718862.634124,0.013,1
1756718862.634443,0.059,1
1756718862.634466,0.014,1
1756718862.634493,0.020,1
1756718862.634512,0.013,1
1756718862.634830,0.063,1
1756718862.634855,0.015,1
1756718862.634875,0.014,1
1756718862.634894,0.013,1
